site,lat,long,id
C10,37.67575,-121.265,B9D74051159
C10A,37.67934,-121.2647,B9D74081159
C3,38.34575,-121.5461,B9D82071328
C3A,38.36771,-121.5205,B9D82211312
C7,37.78607,-121.3077,B9D74721185
C9,37.83028,-121.5549,B9C74981333
D10,38.04631,-121.9183,B9D80281551
D11,38.04229,-121.7995,B9D80251480
D12,38.02161,-121.8063,B9D80131484
D14A,38.01776,-121.7114,B9D80111427
D15,38.05217,-121.6896,B9D80311414
D16,38.0969,-121.6691,B9D80581401
D19,38.04376,-121.6148,B9D80261369
D2,38.06544,-122.0545,E3B80392033
D22,38.08453,-121.7391,B9D80511443
D24,38.15778,-121.6847,B9D80951411
D26,38.07664,-121.5669,B9D80461340
D28A,37.97048,-121.573,B9D75821344
D4,38.06248,-121.8205,B9D80381492
D41,38.03022,-122.3729,E0B80182224
D41A,38.08472,-122.3907,E0B80512234
D42,38.05872,-122.2847,E0B80352171
D6,38.04436,-122.1177,E3B80272071
D7,38.11714,-122.0397,E0B80702024
D8,38.05992,-121.99,E3B80361594
D9,38.07244,-121.9392,D9
MD10,38.04381,-121.4188,B9S80261251
MD10A,38.04226,-121.4199,B9S80251252
MD6,38.1415,-121.4687,B9S80851281
MD7,38.12513,-121.497,B9D80751298
MD7A,38.11382,-121.498,B9S80681299
NZ002,38.06529,-122.2152,E0E80392129
NZ004,38.03576,-122.1616,E0E80212097
NZ032,38.16991,-122.0211,E3S81022013
NZ068,38.1425,-121.6894,B9D80861414
NZ325,38.05798,-122.2919,E3B80352175
NZS42,38.18045,-122.0476,E3S81082029
P10,37.8912,-121.4894,B9D75351294
P10A,37.89126,-121.4883,B9D75351292
P12,37.80472,-121.45,B9D74831270
P12A,37.80284,-121.4569,P12A
P2,38.25542,-121.4403,B2D81531264
P8,37.97817,-121.3823,B9D75871229
S42,38.18047,-122.0469,E3S81082028
D10A,38.0431,-121.91897,
D12A,38.0177,-121.8063,
D24A,38.16016,-121.6853,
D6A,38.0275,-122.13903,
D29,38.05793,-121.55736,
P8A,37.96277,-121.36587,
C7A,37.78604,-121.30666,
D7A,38.12425,-122.03812,
D8A,38.083971,-121.995878,
D9A,38.0724,-121.9392,
D11A,38.074097,-121.761736,
D16A,38.0969,-121.6691,
D19A,38.046417,-121.5981,
